frame,abstime,reltime,Function 1 [C]
882,34:55.5,881.233,1.64E+02
883,34:56.5,882.235,1.63E+02
884,34:57.5,883.235,1.63E+02
885,34:58.5,884.236,1.62E+02
886,34:59.5,885.237,1.62E+02
887,35:00.5,886.238,1.62E+02
888,35:01.5,887.238,1.61E+02
889,35:02.5,888.239,1.60E+02
890,35:03.5,889.24,1.60E+02
891,35:04.5,890.241,1.59E+02
892,35:05.5,891.243,1.59E+02
893,35:06.5,892.244,1.58E+02
894,35:07.5,893.244,1.57E+02
895,35:08.5,894.245,1.57E+02
896,35:09.5,895.246,1.56E+02
897,35:10.5,896.247,1.56E+02
898,35:11.5,897.247,1.55E+02
899,35:12.5,898.248,1.54E+02
900,35:13.5,899.249,1.54E+02
901,35:14.5,900.25,1.54E+02
902,35:15.5,901.251,1.54E+02
903,35:16.5,902.252,1.53E+02
904,35:17.5,903.25,1.53E+02
905,35:17.8,903.513,1.53E+02
906,35:19.5,905.222,1.52E+02
907,35:20.5,906.223,1.52E+02
908,35:21.4,907.191,1.52E+02
909,35:22.4,908.192,1.51E+02
910,35:23.4,909.193,1.51E+02
911,35:24.4,910.193,1.50E+02
912,35:25.4,911.193,1.50E+02
913,35:26.4,912.195,1.49E+02
914,35:27.4,913.196,1.48E+02
915,35:28.4,914.197,1.48E+02
916,35:29.4,915.197,1.48E+02
917,35:30.4,916.198,1.47E+02
918,35:31.4,917.199,1.47E+02
919,35:32.4,918.2,1.46E+02
920,35:33.4,919.201,1.46E+02
921,35:34.4,920.201,1.46E+02
922,35:35.4,921.203,1.46E+02
923,35:36.4,922.205,1.45E+02
924,35:37.4,923.205,1.45E+02
925,35:38.4,924.206,1.44E+02
926,35:39.4,925.206,1.44E+02
929,35:42.5,928.209,1.43E+02
930,35:43.5,929.21,1.43E+02
931,35:44.5,930.21,1.42E+02
932,35:45.5,931.211,1.42E+02
941,35:54.4,940.186,2.22E+02
942,35:55.4,941.188,2.20E+02
943,35:56.4,942.188,2.18E+02
944,35:57.4,943.189,2.15E+02
945,35:58.4,944.189,2.11E+02
946,35:59.4,945.19,2.10E+02
947,36:00.4,946.191,2.09E+02
948,36:01.4,947.193,2.08E+02
949,36:02.4,948.193,2.06E+02
950,36:03.4,949.192,2.03E+02
951,36:03.7,949.455,2.03E+02
952,36:05.4,951.164,2.02E+02
953,36:06.4,952.165,2.01E+02
954,36:07.4,953.165,2.01E+02
955,36:08.4,954.166,2.00E+02
956,36:09.4,955.167,1.99E+02
957,36:10.4,956.168,1.98E+02
958,36:11.4,957.168,1.97E+02
959,36:12.4,958.17,1.97E+02
960,36:13.4,959.17,1.96E+02
961,36:14.4,960.171,1.95E+02
962,36:15.4,961.173,1.94E+02
963,36:16.4,962.173,1.94E+02
964,36:17.4,963.174,1.93E+02
965,36:18.4,964.174,1.92E+02
966,36:19.4,965.175,1.91E+02
967,36:20.4,966.177,1.89E+02
968,36:21.4,967.177,1.89E+02
969,36:22.4,968.178,1.89E+02
970,36:23.4,969.146,1.87E+02
971,36:24.4,970.146,1.88E+02
972,36:25.4,971.148,1.86E+02
973,36:26.4,972.148,1.86E+02
974,36:27.4,973.15,1.85E+02
975,36:28.4,974.151,1.84E+02
976,36:29.4,975.152,1.84E+02
977,36:30.4,976.152,1.83E+02
978,36:31.4,977.153,1.82E+02
979,36:32.4,978.153,1.82E+02
980,36:33.4,979.155,1.81E+02
981,36:34.4,980.155,1.79E+02
982,36:35.4,981.156,1.79E+02
983,36:36.4,982.157,1.79E+02
984,36:37.4,983.158,1.78E+02
985,36:38.4,984.159,1.78E+02
986,36:39.4,985.161,1.77E+02
987,36:40.4,986.161,1.77E+02
988,36:41.4,987.162,1.76E+02
989,36:42.4,988.163,1.75E+02
990,36:43.4,989.164,1.75E+02
991,36:44.4,990.164,1.74E+02
992,36:45.4,991.165,1.73E+02
993,36:46.4,992.166,1.73E+02
994,36:47.4,993.166,1.72E+02
995,36:48.4,994.168,1.71E+02
996,36:49.4,995.133,1.69E+02
997,36:49.7,995.487,1.69E+02
998,36:51.4,997.138,1.69E+02
999,36:52.4,998.139,1.68E+02
1000,36:53.4,999.14,1.68E+02
1001,36:54.4,1000.108,1.68E+02
1002,36:55.4,1001.109,1.67E+02
1003,36:56.4,1002.109,1.66E+02
1004,36:57.4,1003.11,1.65E+02
1005,36:58.4,1004.111,1.64E+02
1006,36:59.4,1005.112,1.63E+02
